date,Sector,ETF,total_actions,changed_actions,no_change_actions,avg_target_revision_pct,median_target_revision_pct,unique_brokers,unique_tickers,change_rate
1999-11-29,Technology,XLK.US,1,1,0,,,1,1,1.0
2005-08-01,Technology,XLK.US,1,1,0,,,1,1,1.0
2005-10-12,Technology,XLK.US,1,0,1,-35.483870967741936,-35.483870967741936,1,1,0.0
2005-11-21,Communication Services,XLC.US,1,1,0,,,1,1,1.0
2005-11-22,Technology,XLK.US,1,1,0,,,1,1,1.0
2006-01-04,Communication Services,XLC.US,1,0,1,52.7313266443701,52.7313266443701,1,1,0.0
2006-07-25,Consumer Discretionary,XLY.US,1,1,0,,,1,1,1.0
2006-10-20,Communication Services,XLC.US,1,1,0,,,1,1,1.0
2006-10-24,Healthcare,XLV.US,1,1,0,,,1,1,1.0
2006-12-29,Consumer Discretionary,XLY.US,1,0,1,-2.85714285714286,-2.85714285714286,1,1,0.0
2007-01-16,Technology,XLK.US,1,1,0,,,1,1,1.0
2007-01-18,Technology,XLK.US,1,1,0,,,1,1,1.0
2007-03-07,Communication Services,XLC.US,1,1,0,,,1,1,1.0
2007-04-20,Communication Services,XLC.US,1,0,1,7.105459985041146,7.105459985041146,1,1,0.0
2007-07-13,Healthcare,XLV.US,1,0,1,,,1,1,0.0
2007-10-01,Technology,XLK.US,1,1,0,,,1,1,1.0
2008-01-02,Consumer Discretionary,XLY.US,1,0,1,25.26315789473685,25.26315789473685,1,1,0.0
2008-01-18,Technology,XLK.US,1,0,1,,,1,1,0.0
2008-01-22,Industrials,XLI.US,1,1,0,,,1,1,1.0
2008-02-01,Communication Services,XLC.US,3,0,3,,,2,1,0.0
2008-02-25,Communication Services,XLC.US,1,1,0,,,1,1,1.0
2008-03-25,Communication Services,XLC.US,1,0,1,-3.3356024506466997,-3.3356024506466997,1,1,0.0
2008-03-27,Communication Services,XLC.US,1,0,1,-1.9431988041853543,-1.9431988041853543,1,1,0.0
2008-04-18,Technology,XLK.US,1,0,1,,,1,1,0.0
2008-05-08,Communication Services,XLC.US,1,0,1,,,0,1,0.0
2008-07-18,Technology,XLK.US,1,0,1,,,1,1,0.0
2008-09-15,Communication Services,XLC.US,1,0,1,,,0,1,0.0
