date,ETF,Sector,Close,Volume,return_5d,return_20d
2024-01-02,XLC.US,Communication Services,72.25,6003794,0.010519031141868584,0.05024221453287181
2024-01-03,XLC.US,Communication Services,71.98,7592688,0.023756599055293037,0.06501806057238113
2024-01-04,XLC.US,Communication Services,71.74,6665408,0.02383607471424609,0.11151379983272935
2024-01-05,XLC.US,Communication Services,72.04,5277304,0.024569683509161555,0.09133814547473618
2024-01-08,XLC.US,Communication Services,73.16,4658199,0.0031437944231820225,0.07135046473482776
2024-01-09,XLC.US,Communication Services,73.01,3533047,-0.0009587727708534333,0.07903026982605121
2024-01-10,XLC.US,Communication Services,73.69,7234958,0.001899850726014396,0.0731442529515538
2024-01-11,XLC.US,Communication Services,73.45,6962817,0.018788291354662867,0.07787610619469021
2024-01-12,XLC.US,Communication Services,73.81,3862425,0.015851510635415345,0.07600596125186287
2024-01-16,XLC.US,Communication Services,73.39,6365591,0.0317481945769178,0.06690284779942757
2024-01-17,XLC.US,Communication Services,72.94,6561837,0.04455717027694006,0.09062242939402254
2024-01-18,XLC.US,Communication Services,73.83,6420369,0.048760666395774255,0.08627929026141135
2024-01-19,XLC.US,Communication Services,74.83,6446710,0.038086329012428255,0.05505813176533492
2024-01-22,XLC.US,Communication Services,74.98,5694427,0.044678580954921276,0.05134702587356621
2024-01-23,XLC.US,Communication Services,75.72,4663522,0.027469624933967207,0.0398837823560485
2024-01-24,XLC.US,Communication Services,76.19,6991155,-0.004068775429846516,0.048956555978474814
2024-01-25,XLC.US,Communication Services,77.43,6158076,-0.009944465969262684,0.029575100090404094
2024-01-26,XLC.US,Communication Services,77.68,4718195,0.02651905252317177,0.011328527291452062
2024-01-29,XLC.US,Communication Services,78.33,4065453,0.0037022852036256992,0.011106855610877098
2024-01-30,XLC.US,Communication Services,77.8,4596917,0.0074550128534705,0.011053984575835507
2024-01-31,XLC.US,Communication Services,75.88,9336420,0.03821823932525037,0.04586188719030049
2024-02-01,XLC.US,Communication Services,76.66,6907168,0.03156796243151572,0.04382989825202199
2024-02-02,XLC.US,Communication Services,79.74,11971924,-0.007148231753197787,-0.009656383245547961
2024-02-05,XLC.US,Communication Services,78.62,7886275,0.010175527855507571,-0.0036886288476215556
